year,leaid,lea_name,state_location,city_location,agency_type,enrollment,agency_charter_indicator,urban_centric_locale,est_population_total,est_population_5_17,est_population_5_17_pct,est_population_5_17_poverty,est_population_5_17_poverty_pct
"2020","4104410","Dufur SD 29","OR","Dufur","Regular local school district","345","","Rural, distant","1749","300","0.171527","36","0.12"
"2020","4104500","Eagle Point SD 9","OR","Eagle Point","Regular local school district","4002","","Suburb, midsize","30224","5167","0.170957","656","0.12696"
"2020","4104530","Echo SD 5","OR","Echo","Regular local school district","290","","Rural, fringe","1019","221","0.216879","17","0.076923"
"2020","4104590","Elgin SD 23","OR","Elgin","Regular local school district","408","","Rural, remote","2709","455","0.167959","55","0.120879"
"2020","4104620","Elkton SD 34","OR","Elkton","Charter agency","226","","Rural, remote","1337","168","0.125654","23","0.136905"
"2020","4105080","Enterprise SD 21","OR","Enterprise","Regular local school district","373","","Rural, remote","3127","460","0.147106","73","0.158696"
"2020","4104700","Estacada SD 108","OR","Estacada","Regular local school district","3188","","Town, fringe","14525","2211","0.15222","152","0.068747"
"2020","4104740","Eugene SD 4J","OR","Eugene","Regular local school district","16683","","City, midsize","163530","19183","0.117306","2318","0.120836"
"2020","4100003","Falls City SD 57","OR","Falls City","Regular local school district","169","","Rural, distant","1394","232","0.166428","62","0.267241"
"2020","4104950","Fern Ridge SD 28J","OR","Elmira","Regular local school district","1424","","Rural, fringe","13011","1918","0.147414","240","0.12513"
"2020","4105160","Forest Grove SD 15","OR","Forest Grove","Regular local school district","5719","","Suburb, large","39025","7104","0.182037","638","0.089809"
"2020","4105250","Fossil SD 21J","OR","Fossil","Charter agency","1317","","Rural, remote","645","75","0.116279","18","0.24"
"2020","4105310","Frenchglen SD 16","OR","Frenchglen","Regular local school district","9","","Rural, remote","81","13","0.160494","2","0.153846"
"2020","4105430","Gaston SD 511J","OR","Gaston","Regular local school district","515","","Rural, fringe","3309","530","0.160169","44","0.083019"
